ESTABLISHMENTNAME,EXACT LOCATION,STREETADDRESS,SUBURB,TOWNNAME,POSTALADDRESS,PHONE,PRINCIPALECONOMIC ACTIVITY
JOE RASHID BARBERING SHOP,AJDCENT LINDA ARTHUR'S SALON,CENET ROAD,OBETE,OBUASI,,246373703,Hairdressing and other beauty treatment
JOE'S SHOP,ADONU'S HOUSE ADJACENT ABOAGYEKROM CAR MECHANIC,GOD LIVES ROAD,ABOAGYEKROM,OBUASI,,232049815,Repair of consumer electronics
JOE'S SHOP,ADONU'S HOUSE ADJACENT ABOAGYEKROM CAR MECHANIC,GOD LIVES ROAD,ABOAGYEKROM,OBUASI,,232049815,Manufacture of furniture
JOE'S SHOP,AT TIMEBER MARKET GOIL FILLING STATION,BOETE ROAD,BOETE,OBUASI,"P. O. BOX 238, OBUASI",244463924,Repair of consumer electronics
JOE'S SHOP,AT TIMEBER MARKET GOIL FILLING STATION,BOETE ROAD,BOETE,OBUASI,"P. O. BOX 238, OBUASI",244463924,Manufacture of furniture
JOE'S SHOP,OPPOSITE CATHOLIC INFORMATION CENTRE,SANSO MAIN ROAD,SANSO,OBUASI,,249986511,Repair of consumer electronics
JOE'S SHOP,OPPOSITE CATHOLIC INFORMATION CENTRE,SANSO MAIN ROAD,SANSO,OBUASI,,249986511,Manufacture of furniture
JOE/PAULA ENTERPRISE,ADJACENT WIS FASHION CENTRE,BEDIEM MAIN ROAD,RIDGE,OBUASI,,245176634,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
JOEHELL ENT.,GLORIOUS ZION MIS. INT. GAUSU EXT.,,OBUASI.,OBUASI,"GAUSU EXT,, OBUASI.",NULL,"Retail sale of hardware, paints and glass in specialized stores"
JOFREM ENT,ABOMPE NEW SITE NEAR RAMS PREP. SCH,,OBUASI,OBUASI,"P.O. BOX 280, OBUASI",NULL,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
JOG JOAN ENTERPRISE,DIRECT OPPOSITE NYAME AKWAN FLORA OBENG ENTERPRISE,OFORI AGYEMANG II STREET,ANTOBOASE,OBUASI,"P. O. BOX 253, OBUASI",208119214,"Retail sale of computers, peripheral units, software and telecommunications equipment in specialized stores"
JOHN ALUKOM LOTTO,YAYA'S HOUSE INFRONT OF TUTUKA CENTRAL MOSQUE,TUTUKA CENTRAL MOSQUE STREET,TUTUKA,OBUASI,,246166147,Gambling and betting activities
JOHN AUTO MECHANICS,BEHIND SKY PETROLEUM,BOETE MAIN ROAD,BOETE,OBUASI,"P. O. BOX 185, OBUASI",243186238,Maintenance and repair of motor vehicles
JOHN BARBERING SALON,OPPOSITE DR. JESUS SPECIAL FAST FOOD,AKROFUOM ROAD,TUTUKA,OBUASI,,246805144,Hairdressing and other beauty treatment
JOHN ENTERPRISE,OPPOSITE MR. STEPHEN FASHION,KOKOTEASUA ROAD,KOKOTEASUA,OBUASI,,277330502,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
JOHN ENTERPRISE,ADJACENT LINER SHOP,AKAPORISO STREET,AKAPORISO,OBUASI,,242681723,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
JOHN LOTTO KIOSK,ADJACENT THE PUBLIC TOILET,AKROFUOM ROAD,TUTUKA,OBUASI,,248523769,Gambling and betting activities
JOHN MENSAH'S MOTOR SPARE PARTS COMPANY,"ADJACENT YAW FOSU PLAZA, STORE NO. 26",,SAMPSONKROM,OBUASI,"P. O. BOX 769, OBUASI",243105370,Sale of motor vehicle parts and accessories
JOHN MENSAH'S PROVISION SHOP,TUTUKA MARKET,,SAMPSONKROM,OBUASI,,246156107,Other retail sale in non-specialized stores
JOHN SANZIE FASHION CENTER,OPPOSITE BOETE FITTING SHOP ADJACENT GOIL FILLINGSTATION,BOETE MAIN ROAD,BOETE,OBUASI,,242981723,"Manufacture of wearing apparel, except fur apparel"
JOHN'S CORN MILLING SHOP,ADJACENT INDEPENDENT PRIMARY B SCHOOL,INDEPENDENCE SCHOOL,BRAHABEBOME,OBUASI,"P. O. BOX 124, OBUASI",546492498,Manufacture of grain mill products
JOJET ENTERPRISE,ADJACENT NIB CAR PARK,,KWABRAFOSO,OBUASI,,242158787,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores"
JOKPPAH ENTERPRISE LIMITED,H/NO.GUE 10B GAUSU EXT.OBUASI,,OBUASI,OBUASI,"P.O.BOX 53, OBUASI",NULL,Manufacture of plastics products
JOLWILL VENTURES,CENTRAL MARKET,CNETRAL MARKET HIGH STREET,NEW NSUTA,OBUASI,,244527307,"Retail sale of clothing, footwear and leather articles in specialized stores"
JOMAS HARWARE STORE ENTERPRISE,INFRONT OF HOUSE NO. TT 45 B,OH BLACKMAN SPOT ROAD,TUTUKA,OBUASI,,242358956,"Retail sale of hardware, paints and glass in specialized stores"
JOMENS ENTERPRISE,OPPOSITE BOETE-FIRE SERVICES,BOETE-BRAHABEBOME STREET,BOETE,OBUASI,,269516368,Sale of motor vehicle parts and accessories
JONA'S SHOP,"AT TIMBER MARKET, BEHIND GOIL FILLING STATION",BOETE ROAD,BOETE,OBUASI,,244473068,Retail sale via stalls and markets of other goods
JONKPE ENTERPRISE,,,OBUASI,OBUASI,"P.O.BOX 957, OBUASI",NULL,Construction of buildings
JOSELIAM ENTERPRISE,OPPOSITE MAKSOF HERBAL SHOP,ABOMPE KOKOTEASUA ROAD,OLD ESTATE,OBUASI,"P. O. BOX 34, OBUASI",272956933,Other retail sale of new goods in specialized stores
JOSEPH ABBEW SHOP,"TIMBER MARKET, BEHIND GOIL FILLING STATION",BOETE ROAD,BOETE,OBUASI,,245702090,Retail sale via stalls and markets of other goods
JOSEPH AKADOM WORKSHOP,ADJACENT SEVEN DAY SPECIAL FOOD,TUTUKA BOETE ROAD,TUUKA,OBUASI,,543657683,"Manufacture of tanks, reservoirs and containers of metal"
JOSEPH AMPONDAH METAL WORKS,OPPOSITE CHECH POINT NITE CLUB,TUTUKA -BOETE ROAD,SAMPSONKROM,OBUASI,,243818205,Manufacture of structural metal products
JOSEPH AMPONSAH METAL WORKS,BEHIND CHECK POINT BAR,TUTUKA WATER CLOSET ROAD,TUTUKA,OBUASI,,249476416,Manufacture of structural metal products
JOSEPH ARTHUR CHEMICAL,OPPOSITE AHANSONYEWODEA JUNCTION,AHANSONYEWODEA JUNCTION,AHANSONYEWODEA,OBUASI,,245174950,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores"
JOSEPH ATO KOOMSON STORE,INFRONT OF HOUSE NO. SK 32/C,SK 32/C JUNCTION,SAMPSONKROM,OBUASI,"P. O. BOX 477, OBUASI",243268515,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
JOSEPH ATTA WELDING SHOP,OPPOSITE SEVEN DADY RESTAURANT,TUTUKA -BOPETE ROAD,SAMPSONKROM,OBUASI,,244451890,Manufacture of structural metal products
JOSEPH KWAKU AFOAKWAH,OPPOSITE REDEMPTION BIBLEWAY CHURCH,BRAHABEBOME ROAD,LOW COST,OBUASI,,276052877,Maintenance and repair of motor vehicles
JOSEPH MANU AMOAKO LIMTITED(JOE AMOAKO AUTO SHOP),ADJACENT DEL CHRIS SERVICES,BIDIEM MAIN ROAD,RIDGE,OBUASI,"P. O. BOX 221, OBUASI",244284464,Maintenance and repair of motor vehicles
JOSEPH MANU VENTURES,"TIMBER MARKET, BEHIND GOIL FILLING STATION",BOETE ROAD,BOETE,OBUASI,"P. O. BOX 185, OBUASI",247032019,Manufacture of furniture
JOSEPH OKYERE'S STORE,INFRONT OF GOD DISCIPLES COLLEGE CHURCH,BEDIEM MANI ROAD,RIDGE,OBUASI,,547992990,Sale of motor vehicle parts and accessories
JOSEPHINE ACQUAH'S BEAUTY SALON,OPPOSITE AMA YEBOAH'S STORE,,AHANSONYEWODEA,OBUASI,,249900519,Hairdressing and other beauty treatment
JOSEPHINE PROVISION SHOP,OPPOSITE MOTOR FITTING SCHOOL,,KWABRAFOSO,OBUASI,,243818191,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
JOSEPHINE'S SALON,BEHIND SAFKANT RESTAURANT AND DRINKING BAR,,KWABRAFOSO,OBUASI,,NULL,Hairdressing and other beauty treatment
JOSHUA SHOE REPAIRS,OPPOSITE GIVE THANKS DIGITAL PHOTO'S,AKROFUOM ROAD,TUTUKA,OBUASI,,543408336,Repair of footwear and leather goods
JOVE FILTERED WATER,OPPOSITE FRANCIS PROVISIONS SHOP,AHANSONYEWODEA TO ODUMASI ROAD,AHANSONYEWODEA,OBUASI,"P. O. BOX 939, OBUASI",548808138,Manufacture of soft drinks; production of mineral waters and other bottled waters
JOY CREATIVE FINGERS BEAUTY SALON,ADJACENT IN GOD WE TRUST FITTING SHOP,BIDIEM MAIN ROAD,RIDGE,OBUASI,,244970318,Hairdressing and other beauty treatment
JOY-SPOT,OPPOSITE AMANKYEM STATION AKRFUOM ROAD,TUTUKA -AKROFUOM ROAD,TUTUKA,OBUASI,,244104284,Beverage serving activities
JOYCE ADDAI ENTERPRISE,ADJACENT ALLSWELL SPOT,,NEW ESTATE,OBUASI,,243008070,Retail sale of food in specialized stores
JOYCE ANKOMAH,OPPOSITE ENO NTIRIWAAH HOTEL,,BRAHABEBOME,OBUASI,,NULL,Other retail sale of new goods in specialized stores
JOYCE AWE'S SHOP,OPPOSITE APOSTOLIC CHURCH,,WAWASI,OBUASI,,NULL,Beverage serving activities
JOYCE KODUA'S ENTERPRISE,INFRONT OF HOUSE NO. TT/27/D,,TUTUKA NKWADUM,OBUASI,"P. O. BOX 656, OBUASI",244883306,"Retail sale of clothing, footwear and leather articles in specialized stores"
JOYCE OWUSU DRESS MAKING,OPPOSITE HOUSE NO. BH 113A/A,SUNNET ROAD,OBETE,OBUASI,,243131800,"Manufacture of wearing apparel, except fur apparel"
JOYCE SHOP,BEHIND MELCOM STORE,E.C.G ROAD,NEW NSUTA,OBUASI,"P. O. BOX 266, OBUASI",242679965,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores"
JOYCE SPOT,OPPOSITE THE TIMBER MARKET,BRYANT MISSION HOSPITAL ROAD,BOETE,OBUASI,,547282038,Beverage serving activities
JOYCE TAILORING SHOP,OPPOSITE GEORGIA HOTEL,ATOPLANS ROAD,BRAHABEBOME,OBUASI,,243372477,"Manufacture of wearing apparel, except fur apparel"
JOYCE TANYA,OPPOSITE APATA KESIEMU,ANTWI SAMPA DRIVE,CENTRAL,OBUASI,,244716266,"Retail sale of clothing, footwear and leather articles in specialized stores"
JOYCE'S SHOP,HORSEY PARK NO. 85 BEHIND WISE LINK MICRO FINANCE,CENTRAL MARKET ROAD,NEW NSUTA,OBUASI,,242310905,Other retail sale in non-specialized stores
JOYCELYENE HAIR FASHION,OPPOSITE AKORFROM RURAL BANK,CENTRAL MARKET ROAD,ABUMU MARKET STORE A,OBUASI,,243613174,Hairdressing and other beauty treatment
JUANA SPOT,BEHIND METRO MASS TRANSPOR YARD,,RAILWAYS,OBUASI,,202549512,Beverage serving activities
JUBILEE CONTRACTORS LIMITED,"OPPOSITE LIFE & SALVATION CHURCH,ABOMPE",,OBUASI,OBUASI,"P.O. BOX 52, OBUASI",NULL,Architectural and engineering activities and related technical consultancy
JUBILEE GLAZING WORKS,OPPOSITE HOUSE NN 2B/N,ABOMPE HOSPITAL ROAD,NEW NYAMEBEKYERE,OBUASI,,243011527,Manufacture of glass and glass products
JULIAN QUASI ENTERPRISE,OPPOSITE Y.FRIMPONG ENTERPRISE,,TUTUKA,OBUASI,,NULL,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
JULIANA CUDJOE'S FASHION,OPPOSITE NEW PARADISE HOTEL,ASUAKYI WALK,CENTRAL,OBUASI,,NULL,"Manufacture of wearing apparel, except fur apparel"
JULIANA ELECTRICAL SHOP,OPPOSITE TIBUAA VILLA,BOETE ROAD,BOETE,OBUASI,,544021403,"Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores"
JULIANA'S BOUTIQUE,ANTI'S HOUSE OPPOSITE KWABO'S JUNCTION,AMANKYEM ROAD,TUTUKA,OBUASI,,242772623,"Retail sale of clothing, footwear and leather articles in specialized stores"
JULIANA'S PROVISIONS STORE,INFRONT OF HOUSE NN16/B,,NEW NYAMBEKYERE,OBUASI,,246777122,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
JULIET AQUAH'S FASHION CENTER,ADJACENT TT/72/B,,TUTUKA-ASIKAFO AMMANTEM,OBUASI,,247937003,"Manufacture of wearing apparel, except fur apparel"
JULIET COBBINA'S FASHION DESIGN,BEHIND MELCOM HORSEY PARK,CENTRAL MARKET ROAD,NEW NSUTA,OBUASI,,267330433,"Manufacture of wearing apparel, except fur apparel"
JULIET OFORI WOOD SHOP,"TIMBER MARKET, BEHIND GOIL FILLING STATION",BOETE ROAD,BOETE,OBUASI,,247506079,Retail sale via stalls and markets of other goods
JULIUS AGHAHOWA FASHION CENTER,OPPOSITE TUTUKA MARKET,,TUTUKA,OBUASI,"P. O. BOX 557, OBUASI",243345837,"Manufacture of wearing apparel, except fur apparel"
JULOWSAH ENTERPRISE,ADJACENT OGUAA KOTO'S ENTERPRISE,FIRST ALLIED SAVINGS AND LOANS LTD,ANTTOBOASE,OBUASI,"P. O. BOX 599, OBUASI",NULL,"Retail sale of clothing, footwear and leather articles in specialized stores"
JUST BY GRACE ENTERPRISE,LOW COST HOUSE NO. BHE 9/B,,LOW COST,OBUASI,,245880150,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
JUST LOVE BASIC SCHOOL,OPPOSITE VICTORIA GARDENS,VICTORIA GARDENS ROAD,KOFFEKROM,OBUASI,"P. O. BOX 287, OBUASI",547273080,General secondary education
JUST LOVE FASHION,ADJACENT JEHOVAH WITNESS CHURCH,,BRAHABEBOME,OBUASI,"P. O. BOX 291, OBUASI",248271507,"Manufacture of wearing apparel, except fur apparel"
JUST LOVE FASHION CENTRE,BEHIND BOETE MARKET,BRYANT MISSION HOSPITAL ROAD,BOETE,OBUASI,,542825353,"Manufacture of wearing apparel, except fur apparel"
JUST LOVE SENIOR HIGH SCHOOL,"ADJACENT VICTORIA GARDENS, OPPOSITE CHRISTAPOSTOLIC CHURCH",ALONG VICTORIA GARDENS ROAD,KOFFEKROM,OBUASI,"P. O. BOX 287, OBUASI",244373722,General secondary education
JUST ONE DAY TAILORING SHOP,OPPOSITE M/A PRIAMRY SCHOOL,BRYANT MISSION HOSPITAL ROAD,BOETE,OBUASI,,545326193,"Manufacture of wearing apparel, except fur apparel"
JUSTICE NYARKO FURNITURE WORKS,"AT TIMBER MARKET, BEHIND GOIL FILLING STATION",BOETE ROAD,BOETE,OBUASI,,232347209,Other manufacturing n.e.c.
JUSTICE PADDY ENTERPRISE,OPPOSITE AKROFUOM AREA RURAL BANK LTD,TUTUKA ROAD,TUTUKA,OBUASI,,248213689,Retail sale of beverages in specialized stores
JUSTICE SPOT,OPPOSITE OBAA LIZER'S BAR,NINE MILES STATION,ESTATE,OBUASI,,NULL,Beverage serving activities
JUSTINA ASIEDU'S POLYESTER STORE,ADJACENT HOUSE NO. TT/45/B,,TUTUKA,OBUASI,,245848958,Retail sale of textiles in specialized stores
JUSTINA BOATENG'S SHOP,ADJACENT FIRST ALLIED SAVINGS AND LOANS,EDURIASE ROAD/SANDYTURK WALK,ANTOBOASE,OBUASI,,244817296,Other retail sale of new goods in specialized stores
JUSTINE ANOKYE BEMPAH SAWMILL,BEHIND NYAME NAYE BAKERY,BOETE ROAD,BOETE,OBUASI,,244672252,Sawmilling and planing of wood
K SAMY ENTERPRISE,ALHAJI SEIDU'S HOUSE OPPOSIET MAAK VET COLD STORE,ESIKAFOOAMAKTEM/AMANKYEM ROAD,ABOAGYEKROM,OBUASI,,200555917,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
K&D SECRET SPOT,ADJACENT KING KNOCKEAN WOOD DESIGNER SHOP,BEDIEM MAIN ROAD,RIDGE,OBUASI,,541133399,Beverage serving activities
K&G COLD STORE,TUTUKA MARKET,,SAMPSONKROM,OBUASI,"P. O. BOX 1113, OBUASI",543398378,Retail sale of food in specialized stores
K-BOADI WELDING,OPPOSITE LEN CLAY STADIUM,ABOMPE NEW SITE ROAD,OLD ESTATE,OBUASI,,249091005,Manufacture of structural metal products
K. BION ENTERPRISE,BEHIND AKROFUOM RURAL BANK,TTUUKA ROAD,SAMPSONKROM,OBUASI,"P. O. BOX 546, OBUASI",244129806,Retail sale of audio and video equipment in specialized stores
K. DARKWA BLOCK AND MOULDING WORKS,ADJACENT AFOAKWA ENTERPEISE,LOW COST STREET,BRAHABEBOME,OBUASI,,243910017,"Manufacture of articles of concrete, cement and plaster"
K. GYIMAH FURNITURES,OPPOSITE CHECK POINT,TUTUKA -BOETE ROAD,SAMPSONKROM,OBUASI,,243485048,Manufacture of furniture
K. KORANKYE AND SONS ELECTRICALS,ADJACENT BOETE FIRE SERVICE OFFICE,FIRE SERVICE ROAD,BOETE,OBUASI,"P. O. BOX 370, OBUASI",242763457,Maintenance and repair of motor vehicles
K. POKU VENTURES,HORSEY PARK STORE BEHIND NSAWAN FORM,ECG ROAD,NEW NSUTA,OBUASI,,206799699,Retail sale of music and video recordings in specialized stores
K. POKU VENTURES,HORSEY PARK STORE BEHIND NSAWAN FORM,ECG ROAD,NEW NSUTA,OBUASI,,206799699,Other retail sale in non-specialized stores
K. POKU VENTURES,ATPRISONS AND A LIFE SUPER AMRKET,OBUASI HIGH STREET,FAGUM,OBUASI,,NULL,Retail sale of music and video recordings in specialized stores
K. POKU VENTURES,ATPRISONS AND A LIFE SUPER AMRKET,OBUASI HIGH STREET,FAGUM,OBUASI,,NULL,Other retail sale in non-specialized stores
K. SAKYI ENTERPRISE,OPPOSITE SMAD HERBAL SHOP,OKOFO SOBINKAN II ROAD,CENTRAL,OBUASI,,207414997,Retail sale of audio and video equipment in specialized stores
K. THOMAS FITTING SHOP,ADJACENT GHANA EDUCATION OFFICE,EDUCATION ROAD,RAILWAYS,OBUASI,,243344901,Maintenance and repair of motor vehicles
K. TOMMY'S BARBERING SHOP,OPPOSITE MAA CONRE STORE,KOKOTEASUA ROAD,KOKOTEASUA,OBUASI,,246569414,Hairdressing and other beauty treatment
K.A LIVING HOPE VENTURES,SANTIAGO BUILDING,OKOFO SOBIN KAN II ROAD,OBUASI CENTRAL,OBUASI,,245432126,"Retail sale of clothing, footwear and leather articles in specialized stores"
K.B.INTER.GHANA LTD.,"DUNKWA JUNCTION,NEAR BACHOR ENT.",,OBUASI,OBUASI,"P.O.BOX 344, OBUASI",NULL,Wireless telecommunications activities
K.BEMPAH ENTERPRISE,OPPOSITE ETON TURNER SHAFT OBUASI,,OBUASI,OBUASI,"P.O.BOX 21, OBUASI",NULL,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
K.GYAMFI CHEMIST,OPPOSITE GYE YESU DI COSMETICS SHOP,TUTUKA ROAD,TUTUKA,OBUASI,"P. O. BOX 22, AKROFUOM",277343708,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores"
KAAF COLLEGE OF LANGUAGES,ADJACENT BIG JOE ELECTRICAL WORKS,SAM JONAH ESTATE ROAD,KOFFEKROM,OBUASI,"P. O. BOX 268, KANDA-ACCRA",242613421,Other education n.e.c.
KAB INVESTMENT & CONST. LTD,,,OBUASI,OBUASI,"P. O. BOX 137, OBUASI",NULL,"Trusts, funds and similar financial entities"
KABINA NAYKE'S SHOP,BEHIND CENTRAL POLICE STATION,EDUBIASE ROAD,ANTO BOASE,OBUASI,,275526283,"Manufacture of wearing apparel, except fur apparel"
KABIRU MOTHER'S STORE,ATTIAH'S HOUSE NO AH/13 B,AHANSONYEWODEA STREET,AHANSONYEWODEA,OBUASI,,249976687,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
KADSHORT GRAPHIC ARTS,ADJACENT BABYLON SPOT,,WAWASI,OBUASI,,NULL,Specialized design activities
KAE DABI SHOP,OPPOSITE PIPELINE-SAMPSONKROM,AIKINS STREET,SAMPSONKROM,OBUASI,,542710768,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
KAKAR YEBEDI NTI SPOT,OPPOSITE HOUSE NO. BH 58/C,NO WAY,BEHAHBEBOME,OBUASI,,248695005,Beverage serving activities
KAKRA YEBEDIE NTI PROVISIONS STORE,OPPOSTIE HOUSE NO. AB 16C,ROAD BETWEEN AB59/C AND AB16C,ABOMPE NEWSITE,OBUASI,,245818221,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
KAN PRINTING WORKS,OPPOSITE TOTAL FILLING STATION,WAWASI HIGH STREET,WAWASI,OBUASI,"P. O. BOX 9, OBUASI",246512260,"Photocopying, document preparation and other specialized office support activities"
KANYITI FARMS,"DADWENE,NEAR THE PUBLIC CEMETERY",,OBUASI,OBUASI,"P.O.BOX 793, OBUASI",NULL,Growing of citrus fruits
KARIM ABRA NYAME NA AYE LADIES,ADJACENT S.D.A HOSPITAL,,BRAHABEBOME,OBUASI,,248889076,Hairdressing and other beauty treatment
KARIM AND CO. LOTTERIES,ADJACENT HOUSE NO. TT/44 B,NKWADUM ROAD,TUTUKA,OBUASI,,242058191,Gambling and betting activities
KASSIM CORN MILL SHOP,OPPOSITE HOUSE NO. ST 044,,OLD ESTATE,OBUASI,,243652428,Manufacture of starches and starch products
KATE NKRUMAH PROVISIONS STORE,"HOUSE NO. A 42B, KATE NKRUMAH'S HOUSE",AHANSONYEWODEA STREET,AHANSONYEWODEDA,OBUASI,,548795410,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
KATE OWUSU'S COSMETICS STORE,HORSEY PARK STORE OPPOSITE ASHFOAM OBUASI DEPOT,CENTRAL MARKET ROAD,NEW NSUTA,OBUASI,,263360448,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores"
KATUMI IBRAHIM'S PROVISION STORE,ADJACENT LINDA'S ENTERPRISE,SAM JONAH ESTATE ROAD,KFFEKROM,OBUASI,,275835386,Retail sale of food in specialized stores
KAWBENA BARBERING SHOP,NEXT TO AMINA ENTERPRISE,,OLD ESTATE,OBUASI,,249263701,Hairdressing and other beauty treatment
KAZA ENTERPRISE LTD.,,,OBUASI,OBUASI,"P.O. BOX 310, OBUASI",NULL,"Retail sale of hardware, paints and glass in specialized stores"
KB JSYREP LIMITED,BEH.COLL.OF INT.HEALTHCARE GAUSU OB,,OBUASI,OBUASI,"P.O.BOX 225, OBUASI",NULL,Mining of other non-ferrous metal ores
KEB'S ELECTRICAL WORKS,BEHIND BOETE MARKET,BRYANT MISSION HOSPITAL ROAD,BOETE,OBUASI,,242739519,Electrical installation
KEN MARCUS'S BOUTIQUE,ADJACNET HELINE MENSAH'S BOUTIQUE,BIDIEM MAIN ROAD,RIDGE,OBUASI,,246009408,"Manufacture of wearing apparel, except fur apparel"
KEN STORE,OPPOSTIE LOYAL BARBERING SHOP,ABOMPE ECG ROAD,NWE NSUTA,OBUASI,,249528224,Retail sale of beverages in specialized stores
KENETH SARPONG'S SHOE MAKING SHOP,OPPOSITE ONARO TAILORING CENTRE,,BOETE,OBUASI,,266009032,Repair of footwear and leather goods
KENFOS SECURITY SERVICES,HOUSE NUMBER B.H.14A./B.,,OBUASI,OBUASI,"P.O.BOX 185, OBUASI",NULL,Private security activities
KENNETH OWUSU PIESIE  LOTTO SHOP,OPPOSITE THE OLD OBUASI CIRCUIT COURT,GOVERNMENT HILL AVE ROAD,CENTRAL,OBUASI,,242172261,Gambling and betting activities
KENZAD ENTERPRISE,,,OBUASI,OBUASI,"P.O.BOX 29, OBUASI",NULL,Other retail sale of new goods in specialized stores
KESEWA'S SHOP,OPPOSITE MAA SHAA ALLAH COLD STORE,AMANKYEM ROAD,TUTUKA,OBUASI,,243855109,Retail sale of second-hand goods
KHADIJAH'S SALON,ADAJCENT ATOPLANS COMMUNITY PARK,ATOPLANS,BRAHABEBOME,OBUASI,,500462636,Hairdressing and other beauty treatment
KILAVIE BAR,OPPOSITE THE CHURCH OF CHRIST,AMANKYEM ROAD,TUTUKA,OBUASI,,545724241,Beverage serving activities
KING -TEKU HERBAL AND SURGICALS,ADJACENT HONEYPOP WINE SHOP ADJACENT GOIL FILLINGSTATION,BOETE MAIN ROAD,BOETE,OBUASI,"P. O. BOX SE 2070, OBUASI",263115248,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores"
KING BENZ TILE SHOP,OPPOSITE PADMOND SCHOOL,TUTUKA-OBUASI ROAD,KWABRAFOSO,OBUASI,,243525292,"Retail sale of hardware, paints and glass in specialized stores"
KING DAVID FASHION,AT THE ROAD NEAR JOHN MENSAH'S HOUSE,,WAWASI,OBUASI,,NULL,Restaurants and mobile food service activities
KING GEORGE MOBILE PHONES SHOP,BEHIND THE POLICE STATION,OBUASI HIGH STREET,FAGUM,OBUASI,,244221013,Repair of communication equipment
KING JESUS BEAUTY SALON,BRYANT MISSION HOSPITAL JUNCTION,BRYANT MISSION ROAD,BOETE,OBUASI,,241073503,Hairdressing and other beauty treatment
KING JESUS SATELITE,ADJACENT THE AIRTEL MAST,,KWABRAFOSO,OBUASI,,232569157,Retail sale of audio and video equipment in specialized stores
KING KNOCKEAN WOOD WORK DESIGNER SHOP,ADJACENT T & J AMPO ENTERPRISE,BIDIEM MAIN ROAD,RIDGE,OBUASI,,246273218,Manufacture of furniture
KING OF KINGS BEAUTY SALON,AMANSAN CLINIC ADJACENT SOAFA SCIENTIFIC CENTER,AKROFUOM ROAD,TUTUKA,OBUASI,,241619333,Hairdressing and other beauty treatment
KING OF KINGS DAYCARE,BEHIND HOUSE NO. TT/36/C,,NKWADUM,OBUASI,"P. O. BOX 291, OBUASI",246136313,Pre-primary and primary education
KING SOLO FASHION,ADJACNET RAILWAYS POLICE STATION,GOVERNMENT HILL AVE ROAD,CENTRAL,OBUASI,,244518019,"Retail sale of clothing, footwear and leather articles in specialized stores"
KINGDOM ENTERPRISE,OPPOSITE PAPA NZEMA'S TYPE WRITING SHOP,AMANKYEM ROAD,TUTUKA,OBUASI,"P. O. BOX 1239, OBUASI",244786919,"Retail sale of hardware, paints and glass in specialized stores"
KINGDOM LAW CONSULT,"DOVE HOUSE, OBUASI",,OBUASI,OBUASI,"P.O. BOX 351, OBUASI",NULL,Management consultancy activities
KISSI DAWUDA'S ELECTRICAL SHOP,ADJACENT GLADY'S NAAH'S FASHION SHOP,BIDIEM MANI ROAD,RIDGE,OBUASI,,248459553,Maintenance and repair of motor vehicles
